Category,Rating,Rating Count,Installs,Free,Price,Minimum Android,Content Rating,Ad Supported,In App Purchases,Editors Choice,Name Length,Size in MB,App Age,Last Update Age
Medical,2.0,40.0,4772.0,True,0.0,4,Everyone,False,False,False,13.0,27.0,1743.0,162.0
Music & Audio,4.1,14.0,2783.0,True,0.0,4,Teen,True,False,False,21.0,4.3,448.0,16.0
Social,3.4,5.0,547.0,True,0.0,4,Everyone,True,False,False,9.0,0.841796875,583.0,582.0
Education,5.0,9.0,653.0,True,0.0,5,Everyone,False,False,False,21.0,15.0,505.0,117.0
Video Players & Editors,4.1,28.0,12587.0,True,0.0,4,Everyone,False,False,False,26.0,0.3662109375,3079.0,794.0
Trivia,4.1,25.0,3042.0,True,0.0,2,Everyone,True,False,False,26.0,4.9,2518.0,2061.0
Puzzle,4.7,131.0,42572.0,True,0.0,4,Everyone,True,True,False,17.0,44.0,221.0,129.0
Education,4.0,89.0,13611.0,True,0.0,2,Everyone,False,False,False,14.0,18.0,1737.0,10.0
News & Magazines,4.4,7349.0,472468.0,True,0.0,4,Everyone,True,False,False,12.0,13.0,1050.0,167.0
Sports,3.1,38.0,6431.0,True,0.0,5,Adults only 18+,False,False,False,8.0,62.0,214.0,8.0
Casual,5.0,6.0,126.0,True,0.0,4,Everyone,True,False,False,31.0,3.1,508.0,498.0
Casino,4.9,2015.0,80754.0,True,0.0,4,Teen,False,False,False,40.0,30.0,255.0,246.0
Tools,3.8,125.0,62797.0,True,0.0,4,Everyone,True,False,False,24.0,3.5,450.0,333.0
Food & Drink,1.5,46.0,7200.0,True,0.0,4,Everyone,False,False,False,30.0,5.8,1579.0,490.0
Educational,4.3,459.0,135226.0,True,0.0,5,Everyone,False,True,False,49.0,78.0,330.0,138.0
Tools,5.0,151.0,1587.0,True,0.0,4,Everyone,True,False,False,49.0,5.2,149.0,72.0
Weather,3.3,27.0,887.0,True,0.0,4,Everyone,False,True,False,8.0,2.2,2207.0,1663.0
Puzzle,4.2,9615.0,637159.0,True,0.0,4,Everyone,True,True,False,44.0,29.0,1091.0,1072.0
Health & Fitness,4.2,825.0,231330.0,True,0.0,4,Everyone,False,False,False,8.0,42.0,1741.0,464.0
Puzzle,4.0,118.0,15248.0,True,0.0,4,Everyone,True,False,False,16.0,20.0,1111.0,726.0
Education,4.9,26.0,447.0,True,0.0,4,Everyone,False,False,False,7.0,38.0,729.0,9.0
Education,3.5,11.0,2162.0,True,0.0,4,Everyone,True,False,False,21.0,11.0,745.0,745.0
